files_name classifier avg_bpm_normalized avg_rhythmic_density_normalized avg_velocity_normalized bpm_stddev_normalized velocity_stddev_normalized percent_irregular_time_signature
desprez_ave_maria_(c)unknown.mid 0 -0.649606413607384 -0.5351974573229742 -1.6605085739206151 23.91 0.47 0.0949
desprez_ave_vera_virginitas_(c)unknown.mid 0 -0.654588790465599 -0.0436437442832692 -1.556272786568839 5.17 0.12 0.0
desprez_kyrie_missa_de_pacem_(mccloskey).mid 0 -0.2689075273046777 0.8014342724039027 -1.3478012118652871 0.0 0.27 1.0
desprez_quant_peulx_haver_joye_(mccloskey).mid 0 0.2066829909794882 0.6136391575845312 -1.297172400865853 0.0 0.2 0.0
desprez_vox_regis_(mccloskey).mid 0 1.044628189861114 2.069051297434661 -1.7736788573311146 0.0 0.14 0.0
destouches_amadis_de_grece_(c)werths.mid 0 -0.4181523613757565 0.8014342724039027 -0.5556092279917897 12.97 0.22 0.0
destouches_isse_passepied_(c)werths.mid 0 -0.1658629150097751 0.8014342724039027 0.3616657007038393 16.29 0.32 1.0
distler_choral_83-1_wie_schoen_leuchtet_(mccloskey).mid 3 -0.9483225534249148 2.069051297434661 -0.5198712437568951 0.0 0.26 0.0092
distler_choral_83-6_ach_wie_fluechtig_(mccloskey).mid 3 -1.0842055586489625 1.4352427849192817 -1.3478012118652871 0.0 0.24 0.0213
distler_choral_83-7_christ_der_du_bist_(mccloskey).mid 3 0.8589214160549161 1.2709220594523316 -1.4699059913345105 71.79 0.35 0.0
dowland_complaint_(c)bachovich.mid 0 -0.6122385871707708 0.4563607489233078 -1.6783775660380624 5.98 0.43 0.0
dowland_digorie_piper's_galliard_(c)bachovich.mid 0 -1.2782917844439767 0.1864052713704612 -0.1863167242312115 12.43 0.33 0.0
dowland_dr_case's_pavane_(c)bachovich.mid 0 -1.7445969640378327 0.6019019629083205 -0.0582556140561725 10.74 0.36 0.04
dowland_frog_galliard_(c)bachovich.mid 0 -0.4500848676034076 0.5666903788796883 -0.2339673698777377 0.0 0.35 0.0
dowland_king_of_denmark_his_galliard_(c)bachovich.mid 0 -0.6670447326111366 0.2549504882795315 -0.3918101335818558 9.74 0.28 0.0103
dowland_lachrimae_(c)bachovich.mid 0 -0.9827462480816734 0.6751420576878755 -0.984465038810525 14.79 0.29 0.0
dowland_lady_hammond's_alman_(c)bachovich.mid 0 -1.2859918214066726 0.6037799140565145 0.1025653150008529 9.68 0.37 0.1957
dowland_lady_rich_galliard_(c)bachovich.mid 0 -0.6070297386371826 0.4901638695907946 -0.1118625904085144 10.14 0.24 0.0
dowland_lord_willoughby_(c)bachovich.mid 0 -0.977084456197338 0.3699749961063967 -0.6330415271673947 13.11 0.27 0.0
dowland_mrs_white's_nothing_(c)bachovich.mid 0 -1.5794991126906148 0.5666903788796883 -0.6717576767551972 9.07 0.35 0.07690000000000001
dowland_queen_elizabeth_galliard_(c)bachovich.mid 0 -0.2261043806591028 0.549788818545945 -0.5258275744627107 17.67 0.34 0.0
